typology,rebuild_strategy,material,total_new_material_tons,total_recycled_material_tons,cost_pre,cost_infl
APT,full_rebuild,cement,0.0,609344.7628384883,0.0,0.0
APT,full_rebuild,steel,0.0,609344.7628384883,0.0,0.0
APT,full_rebuild,sand,0.0,609344.7628384883,0.0,0.0
APT,full_rebuild,gravel,0.0,609344.7628384883,0.0,0.0
APT,full_rebuild,stone,0.0,609344.7628384883,0.0,0.0
APT,full_rebuild,wood,0.0,609344.7628384883,0.0,0.0
APT,full_rebuild,glass,0.0,609344.7628384883,0.0,0.0
APT,full_rebuild,aluminum,0.0,609344.7628384883,0.0,0.0
APT,full_rebuild,gypsum,0.0,609344.7628384883,0.0,0.0
APT,full_rebuild,plastics,0.0,609344.7628384883,0.0,0.0
APT,partial_rebuild,cement,0.0,3488305135.3671474,0.0,0.0
APT,partial_rebuild,steel,0.0,3488305135.3671474,0.0,0.0
APT,partial_rebuild,sand,0.0,3488305135.3671474,0.0,0.0
APT,partial_rebuild,gravel,0.0,3488305135.3671474,0.0,0.0
APT,partial_rebuild,stone,0.0,3488305135.3671474,0.0,0.0
APT,partial_rebuild,wood,0.0,3488305135.3671474,0.0,0.0
APT,partial_rebuild,glass,0.0,3488305135.3671474,0.0,0.0
APT,partial_rebuild,aluminum,0.0,3488305135.3671474,0.0,0.0
APT,partial_rebuild,gypsum,0.0,3488305135.3671474,0.0,0.0
APT,partial_rebuild,plastics,0.0,3488305135.3671474,0.0,0.0
APT,repair,cement,0.0,2416247219.2120404,0.0,0.0
APT,repair,steel,0.0,2416247219.2120404,0.0,0.0
APT,repair,sand,0.0,2416247219.2120404,0.0,0.0
APT,repair,gravel,0.0,2416247219.2120404,0.0,0.0
APT,repair,stone,0.0,2416247219.2120404,0.0,0.0
APT,repair,wood,0.0,2416247219.2120404,0.0,0.0
APT,repair,glass,0.0,2416247219.2120404,0.0,0.0
APT,repair,aluminum,0.0,2416247219.2120404,0.0,0.0
APT,repair,gypsum,0.0,2416247219.2120404,0.0,0.0
APT,repair,plastics,0.0,2416247219.2120404,0.0,0.0
COM,full_rebuild,cement,10340239.933233723,2919623.7980413963,1344231191.320384,4198137412.892892
COM,full_rebuild,steel,3692942.833297759,2919623.7980413963,3028213123.304162,5461862450.447385
COM,full_rebuild,sand,16495144.655396657,2919623.7980413963,296912603.79713976,379388327.07412314
COM,full_rebuild,gravel,6154904.72216293,2919623.7980413963,135407903.88758445,172337332.22056207
COM,full_rebuild,stone,4923923.777730345,2919623.7980413963,275739731.5528993,349598588.21885455
COM,full_rebuild,wood,393913.9022184276,2919623.7980413963,153626421.86518675,219016129.63344577
COM,full_rebuild,glass,295435.42666382075,2919623.7980413963,339750740.6633938,573440163.1544759
COM,full_rebuild,aluminum,147717.71333191037,2919623.7980413963,273277769.6640341,428233650.9492081
COM,full_rebuild,gypsum,344674.6644411241,2919623.7980413963,17233733.222056206,23093202.51755532
