typology,rebuild_strategy,n_buildings,total_gfa_m2,total_cost_usd,total_carbon_kg
APT,full_rebuild,9,23517.983390482488,12799662.460270094,8819243.771430934
APT,nan,135731,72741000.24214637,39589289381.78816,36370500121.07319
APT,partial_rebuild,32997,15789619.914229758,8593500638.319546,7894809957.11488
APT,repair,162543,74870777.88896075,40748420866.06689,37435388944.48037
COM,nan,121,224733.65994402222,124890113.17239174,114614166.57145134
COM,partial_rebuild,22,30834.287349417555,17135384.33725507,15725486.548202952
COM,repair,90,150263.72106091716,83505306.3865782,76634497.74106775
EDU,nan,340,428871.4476763015,252262185.52320057,235879296.22196585
EDU,partial_rebuild,32,69966.64232427294,41154379.015137345,38481653.278350115
EDU,repair,167,236348.946347607,139020450.24166244,129991920.49118385
IND,full_rebuild,1,6643.438066854882,4076081.425918813,2989547.130084697
IND,nan,370,1170373.639074429,718082746.2541158,702224183.4446573
IND,partial_rebuild,116,359320.1415195221,220460872.8293028,215592084.91171327
IND,repair,511,1450475.9341115055,889939509.3741143,870285560.4669033
SFH,nan,547,362878.0314296688,183888442.42698467,163295114.14335096
SFH,partial_rebuild,45,25629.303608614595,12987649.603665447,11533186.623876568
SFH,repair,300,172306.0697525469,87316100.84710315,77537731.38864611
